trip_id,route,first_seen_at,initial_due_in_seconds,arrival_time,actual_duration_seconds
4451_9846,41,2025-01-05 07:29:30,587.072393,2025-01-05 07:34:16,286.007381
4451_9850,41,2025-01-05 07:59:37,579.630966,2025-01-05 08:04:23,286.284169
4451_9850,41,2025-01-05 08:09:31,277.263811,2025-01-05 08:22:55,804.110748
4451_9854,41,2025-01-05 08:28:42,597.310971,2025-01-05 08:47:31,1129.378772
4451_9857,41,2025-01-05 08:58:50,589.200307,2025-01-05 09:08:45,595.597803
4451_9862,41,2025-01-05 09:28:51,595.738057,2025-01-05 09:45:32,1000.874177
4451_9865,41,2025-01-05 09:59:01,586.036702,2025-01-05 10:08:03,541.960501
4451_9865,41,2025-01-05 10:08:23,79.913581,2025-01-05 10:10:06,103.281655
